"stn","lat","lon","f1.Z.r","f2.kt.h","f3.kt.l","f4.kb.h","f5.kb.l","f6.kd.h","f7.kd.l","f8.G.c0","f9.G.r","f10.B.c0","f11.B.r","f12.D.c2","f13.D.r"
"bud",47.4291,19.1822,23.993,0.47348756558064,0.236033769009254,0.452841668410367,0.457224663912363,0.173036401677424,0.349520370533663,353.07218989899,409.541183226686,195.516264439338,364.190200310861,158.121802960392,178.578594199232
"cab",51.968,4.928,28.532,0.332583483455867,0.311406637960581,0.00582686805338806,0.960265510519829,0.166927567986707,0.389377917057526,269.562457977569,444.880559373122,131.050365295167,348.862586465908,138.034076773774,184.089330155742
"cam",50.2167,-5.3167,26.779,0.317104339772152,0.362026452479445,0.146751484856319,0.752774012908517,0.179244446724898,0.31139327749258,289.363472885564,396.611910771658,118.934973747191,274.882434473715,169.151091127586,199.475737873922
"cap",79.27,101.75,55.833,0.336790849378698,0.20218431924133,0.0555687324808878,0.758788400826916,0.257068067817653,0.291952745408977,220.062861168248,335.782376856255,68.8893374992034,234.32509016307,151.850225444803,290.430521597261
"car",44.083,5.059,20.646,0.515400773903818,0.183459703807786,0.23361539853697,0.313300492930516,0.187652727011519,0.509964742330163,396.881487071637,391.600880577863,265.606521896686,405.033867144313,132.487122592894,138.173121008599
"clh",36.905,-75.713,13.468,0.355554383913258,0.208161980424852,0.301439992542631,0.436059193282582,0.216957593032358,0.282068795804516,426.237943214708,364.459948692243,252.690845643178,332.093784967141,170.511160076901,130.486145401339
"cnr",42.816,-1.601,19.38,0.423041851918176,0.276885828676925,0.244349516411859,0.536243628079139,0.226907312919429,0.271711746881734,378.263842019633,422.664005634676,215.839111847778,405.034981263181,161.978995272601,162.416502879022
"coc",-12.193,96.835,0.059,0.367141102087412,0.21465215296739,0.036349352899561,0.520538379612487,0.18327405369766,0.26504700279336,523.870765153065,278.700354267482,290.493029596322,348.314174223572,225.3914390288,139.343138103977
"daa",-30.6667,23.993,7.23,0.544385657634204,0.131677289330317,0.477532073582847,0.173629334856828,0.134602264489892,0.601476205980725,568.004342957337,339.984276938004,452.537107065602,354.51229199903,110.725797844564,139.366124016165
"dar",-12.425,130.891,0.044,0.44217071523437,0.214094003236488,0.286606163824787,0.432001008405104,0.186189230015246,0.307208271910376,517.617074298719,195.761937986022,330.914816418799,356.589247119684,184.209770635203,193.094172583468
"dom",-75.1,123.383,51.663,0.390845044466772,0.207905453346753,0.00460698311340391,0.173143176809823,0.161589563303893,0.656157815583053,330.934685256357,420.44480375768,235.154091226203,384.916088717678,90.3163240946589,161.674951452998
"dra",36.626,-116.018,13.19,0.430288461216665,0.0839478327885559,0.540427343965602,0.182311520997511,0.170917664652936,0.525166916828893,508.120027808005,360.929759923336,396.233286076627,403.779867096792,116.315732065212,121.029892859819
"dwn",-12.424,130.8925,0.042,0.48853274254598,0.182298321447763,0.332715638219631,0.303792401556485,0.196237859196364,0.256312323009621,537.327794006121,216.935647407293,352.113037069791,389.388339302105,179.954301777243,230.490672750594
"e13",36.605,-97.485,13.168,0.360393404007969,0.170801667479752,0.30041576614488,0.435332022437338,0.212083778021595,0.245470148542303,417.647621187167,349.190061932801,273.291708854472,276.677166346714,152.305995896229,153.562550491814
"ena",39.0911,-28.0292,15.654,0.317880258193969,0.392616845806212,0.00485291804126903,0.741357403724256,0.212212157437586,0.228053262716985,370.198782922524,366.017511835931,179.410995544701,334.014326339786,198.500231779516,179.062423562149
"eur",79.989,-85.9404,56.551,0.360383134167915,0.266216928410548,0.470383499297766,0.476116651937216,0.135354241957268,0.432043713420459,222.913945453069,306.657543306665,111.400276937413,292.48481731831,103.174448094009,166.306166469824
"flo",-27.6047,-48.5227,4.17,0.425783773563234,0.250677198912782,0.23185424200293,0.533692838239461,0.276280601025653,0.377666283158971,467.318087190812,287.152881806132,248.23650842622,415.007223670859,215.395797392181,285.869031236694
"fpe",48.3167,-105.1,24.88,0.405284980865728,0.221739833480346,0.25739054856302,0.494069805245078,0.14584712794752,0.420900549835808,361.851760680495,420.354313042922,214.255382224116,375.512461559408,153.990689804945,143.445526897452
"fua",33.5822,130.3764,10.146,0.390184771006467,0.192187367025616,0.240678202603479,0.496864444573132,0.194923863908792,0.321256525717614,419.310794466733,265.48601227257,222.224813650317,236.15437150884,199.468626891385,180.395257069142
"gan",23.1101,72.6276,0.045,0.349525370636972,0.293792973786674,0.347532548132601,0.620657929664056,0.030750199801281,0.566456181381074,405.631928113812,393.070437075677,216.302030413733,493.08347758042,209.52826815573,300.119455194127
"gcr",34.2547,-89.8729,10.818,0.326571819411444,0.182668143728762,0.302186399744108,0.453727598783677,0.215708476067625,0.210725680249866,433.09174538962,379.381373975485,261.382242207101,272.619787005464,174.567263560421,156.980097408263
"gim",46.721,-87.411,23.284,0.315895366082913,0.255862588956902,0.384003028334438,0.540067722200604,0.191525337051795,0.291223820797104,349.260659562807,447.892684136352,190.177281091531,357.695609518708,156.796820982396,139.686401090749
"gob",-23.5614,15.042,0.127,0.502216829748873,0.0873397702450273,0.597522372897893,0.0868828429024982,0.0931814567337479,0.604525007469768,608.482318326444,307.98201063268,488.220783209774,334.881165900443,115.215204952969,154.418972049876
"gur",28.4249,77.156,4.989,0.458469523154258,0.221631121214804,0.364033286966491,0.440859881602742,0.0550557774323719,0.370958861143835,386.95990068894,404.913844740958,187.376252374991,335.331406606604,205.771932014628,235.649957082909
"gvn",-70.65,-8.25,47.213,0.403756561400887,0.16556980219353,0.169276609741522,0.5229124618974,0.231358129075804,0.468485304541945,313.659127517746,407.235758378633,118.974382191353,264.535275512079,191.05058914659,309.923834779022
"how",22.5535,88.3064,0.059,0.406924640281255,0.231332063986999,0.434559243752999,0.453474392156886,0.144138239399776,0.152899171223961,388.305059791555,224.313881491459,154.882545441912,283.095738962361,225.616446823785,141.759538275534
"ino",44.3439,26.0123,20.908,0.487661111972881,0.208347301910723,0.521923108135264,0.356800795216307,0.201194227727333,0.387416116065455,394.463444789107,402.610048218128,221.498386462847,378.346023752364,163.593159001762,209.854111217641
"ish",24.3367,124.1644,0.903,0.25158474351669,0.296213419516973,0.224391028049419,0.55215814162897,0.198173084638865,0.285339807086262,449.860783284517,310.841922612669,221.47402344819,369.493259016749,226.262453821309,223.897265425737
"iza",28.3093,-16.4993,4.873,0.556392706648849,0.208567551242389,0.296539094590309,0.173943965909558,0.142738654691933,0.582634456881846,603.921785470562,342.794586389831,478.514653997125,427.728064587028,122.961110786261,164.674028325197
"kwa",8.72,167.731,0.103,0.410627153581465,0.222879105107429,0.449280583173775,0.491802053026477,0.178749553600665,0.265942750502559,532.702139185898,360.925515536635,315.059776088514,310.149469883978,212.814636637879,247.143743213136
"lau",-45.045,169.689,21.608,0.48522244692205,0.244714675554014,0.283045079741056,0.475009412839051,0.225020500330931,0.442250654992533,427.280516035822,425.603101622846,262.27875821434,342.208458604883,162.985772420514,209.913742167942
"ler",60.1389,-1.1847,36.702,0.244317339435058,0.459696442103628,0.0544830582697096,0.856823950310598,0.159750206501047,0.323234652706242,229.62885319679,371.313733281158,70.4550612526922,154.331312753194,158.944557574576,250.218833967621
"lin",52.21,14.122,28.773,0.404928487161699,0.27297322066486,0.313637130841266,0.556630764557294,0.170112014623777,0.324803345347471,311.357391501066,416.934131834081,154.428857562297,348.284679626882,155.816909467706,154.987570295948
"lmp",35.518,12.63,12.083,0.507037415961709,0.179077151043923,0.566272458314843,0.307992536043596,0.165122732828061,0.30908754469642,465.923172919513,394.043830806253,288.372290491067,431.220712046918,172.368448917156,171.219225525961
"lrc",37.1038,-76.3872,13.668,0.318362098343427,0.240713147672987,0.279321818436228,0.44788822612965,0.166149755062223,0.411191299395172,420.762295766923,334.178637580553,260.558070188027,302.901776441015,159.310846378899,149.765882159328
"lyu",22.037,121.5583,0.033,0.293053687772047,0.39753180930072,0.043132453303152,0.826314804101578,0.141176843695444,0.301922091857416,420.87471512518,304.804146571273,145.582155246437,330.920096854517,268.594116757683,150.268177768362
"man",-2.058,147.425,0.084,0.25327765193111,0.365979584596617,0.0429650166471424,0.649063089593405,0.219286742536429,0.258881659936034,479.563305429372,215.357843648503,262.754912397272,294.757375780811,213.375998800502,128.04357887556
"mnm",24.2883,153.9833,0.855,0.358460837007003,0.18082443080677,0.451798881438042,0.377273597172352,0.162508081139986,0.416620063744281,507.606684070058,230.091851879871,326.265177191278,305.507238652892,181.067823023783,167.32925233888
"nau",-0.521,166.9167,0.077,0.409074611734723,0.246616247493104,0.237980387226886,0.465074497419981,0.17137180765518,0.362639071774069,523.518380217303,479.021856460659,317.416904439024,504.050201135998,206.543507249294,176.557848892697
"new",-32.8842,151.7289,9.448,0.459422946989871,0.23123009823595,0.31379415189186,0.412883318066347,0.177640281940754,0.459879910526755,502.097494377981,389.411473307619,315.300029673813,365.259300851482,172.074044369076,217.883788205793
"nya",78.9227,11.9273,55.487,0.407570485704384,0.311484047618095,0.195638879099929,0.658918378929716,0.18908200837466,0.354885166371187,183.923457696648,293.481473021427,67.5351094114284,209.690471727612,114.4016284409,159.699123198157
"ohy",-12.05,-75.32,0.073,0.271237406416725,0.30974959711896,0.336214636104362,0.55289401415478,0.320944656265672,0.37037645243113,578.542566980534,509.613962357301,329.028923927796,481.868745832477,240.912265891735,329.804828957252
"pal",48.713,2.208,25.276,0.447984870951896,0.261752127987333,0.435466030334688,0.518381114495251,0.192562960343102,0.273938018749038,348.724379042083,402.087965608071,179.116331435325,353.580231535325,167.349643518242,169.002289389832
"par",5.806,-55.2146,0.067,0.365033291186217,0.294119160997113,0.00864286528273583,0.622689794758928,0.156648758064958,0.38900714222877,505.467164323353,208.053114518886,240.420010172241,317.977509998592,264.344956511801,179.224200449171
"pay",46.8123,6.9422,23.376,0.518291712008757,0.175203682843836,0.317383822297178,0.364711739887912,0.255467049328426,0.275494439248165,406.670443062332,437.615387951231,232.122801730662,410.661552798338,173.662011544643,185.782250677048
"psu",40.72,-77.9333,17.283,0.338563884695787,0.360458044781899,0.377728024322509,0.597084090252182,0.205551212384261,0.281138678009626,368.131953208041,387.087924624725,187.292750736061,307.077276270602,181.313422649821,161.627248585862
"ptr",-9.069,-40.32,0.036,0.439711992736717,0.270463404523507,0.236686623938016,0.762246770828194,0.225264472591029,0.245411451695504,527.522259706981,289.910144393135,327.987651602643,394.067710388088,197.258794181201,183.762818385321
"qiq",47.7957,124.4852,24.36,0.450776428393799,0.196653638115954,0.533348731177859,0.366786665395988,0.167445132616903,0.468194735653627,344.96138046124,373.595242103989,205.776831322306,338.101381538507,137.098069258451,209.247965148784
"reg",50.205,-104.713,26.767,0.479992352613754,0.179651287711127,0.240087498293894,0.412802290623127,0.127349082387918,0.449080103292645,382.187569428409,377.875494901548,208.006601118272,348.88608786641,166.477077132385,177.987292224679
"run",-20.9014,55.4836,0.063,0.477274923622251,0.242514449625571,0.404006205800869,0.452270026551104,0.212888524028927,0.441465728644244,546.378882993954,244.041866951771,330.757474444856,274.181536916536,209.975644059322,171.341404152732
"sap",43.06,141.3286,19.623,0.237511575096569,0.300976271850232,0.304421914381885,0.600570310274637,0.177145567653301,0.337752806791788,362.386655283282,322.493444655869,177.699895990359,287.423504410956,184.639999799052,139.946509821053
"sbo",30.8597,34.7794,7.422,0.430750468560463,0.114264475239039,0.355250532834031,0.219717724291433,0.144273987012362,0.51843136030617,506.90345668933,306.929958495418,372.349704922421,355.395457392763,139.215093904762,145.580958817337
"sel",15.784,-91.9902,0.051,0.478594122081092,0.224562898750103,0.286217535621778,0.425345904063394,0.168622623955888,0.407223186633161,566.633114949695,185.744897927859,366.862803012294,339.621678468498,198.454614477459,222.376704597204
"sms",-29.4428,-53.8231,6.005,0.345940456974122,0.221067719700862,0.273261387156616,0.475973526996292,0.155968329744662,0.44083922901213,468.503631332097,479.193970667329,291.287551476922,463.837779627635,158.571013225587,197.596816640103
"son",47.054,12.9577,23.618,0.236930902943304,0.3572238975177,0.138040767937358,0.741727834353339,0.154822465839547,0.392423822822801,337.750263250717,337.914381742585,159.228221460136,302.648973524145,179.033699778309,244.325050053996
"sov",24.91,46.41,1.473,0.431448784318821,0.142872891769296,0.486675737607636,0.163378583926207,0.122487134238502,0.468075024697855,562.267676690916,272.62065264808,383.963748820464,348.768493244818,170.051523272783,229.377882776155
"spo",-89.983,-24.799,66.546,0.32121817525303,0.131055021493598,0.326726000197714,0.369337757115098,0.241723031402217,0.485159360322307,305.142609020561,389.031673806613,191.189027216531,359.667902732623,123.495505236859,191.081225575081
"sxf",43.73,-96.62,20.293,0.339195089449679,0.144276421410547,0.262401338571266,0.496175565116725,0.144141645912339,0.469853600595298,373.190680193301,358.815269728964,215.403438305899,328.313310044302,161.520073836837,155.846381987855
"syo",-69.0053,39.5811,45.569,0.423078036053068,0.14948970637615,0.368836497976654,0.44001439234613,0.24449343251153,0.522025136146668,315.689733993934,436.87871423231,147.253843787038,325.784847245595,170.299218663873,300.994410634929
"tat",36.0581,140.1258,12.622,0.375217373897306,0.180239597472453,0.296876903477092,0.437698483828397,0.173707454816767,0.397853624208426,428.666975280232,268.887101324941,237.555619262439,308.702932964748,190.546000595737,236.116236018984
"tik",71.5862,128.9188,48.149,0.272255032138874,0.395289705696526,0.109673233037416,0.759564875752226,0.153305673900118,0.414677567875278,192.182215120726,290.344443720692,70.8065199494319,209.19002096274,109.558850411398,201.069395281393
"tir",13.0923,79.9738,0.084,0.29738241120652,0.36424982135224,0.199608373341258,0.629349864412588,0.155963145413642,0.234983693470512,426.749443148351,548.708103565717,167.906949514221,451.442993444515,241.354783902122,179.518732184391
"tor",58.2641,26.4613,34.827,0.423022284700583,0.290356304556368,0.162260193951223,0.615930491649138,0.175349134225819,0.361143509342836,265.747536119071,432.683387390678,133.184505010577,376.143754904852,130.008289289403,162.405191866147
"xia",39.754,116.962,16.317,0.311200924686711,0.282681993319485,0.213231959996579,0.608886235716563,0.263139232115642,0.218545916481306,351.455103347778,354.363865149877,150.210538124103,215.021843009398,195.646410236998,229.665251399024
"yus",23.4876,120.9595,0.063,0.295590773515219,0.347568037040569,0.290938181466329,0.564145616174109,0.185538513331864,0.436940712533981,509.940845157366,248.424432916979,291.339443589966,407.762233205791,213.50143236605,278.935733526388
